,Consultant,Main New Gloss.1,Gloss Variant,D Start HS,N-D Start HS,D End HS,N-D End HS,Passive Arm,Session,Scene,Start,End,vid_links
2,Liz,TWENTY,TWENTY+,crvd-L,,flat-G,,N,ASL_2008_01_11,2,2635,2661,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_10.mov
3,Tyler,TWENTY,TWENTY++,L,,flat-G,,N,ASL_2008_05_12a,1,2400,2480,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_10.mov
4,Naomi,TWENTY,TWENTY+,L,,baby-O,,N,ASL_2008_08_04,1,2279,2353,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_10.mov
5,Brady,TWENTY,TWENTY+,L,,flat-G,,N,ASL_2011_06_08_Brady,5,5170,5198,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_10.mov
7,Liz,ALONE,ALONE++,1,,1,,N,ASL_2008_02_01,35,3707,3782,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_26.mov
8,Liz,ALONE,ALONE+,1,,1,,N,ASL_2008_02_29,32,2890,2936,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3933.mov
9,Tyler,ALONE,ALONE+,1,,1,,N,ASL_2008_05_29b,9,3801,3830,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_26.mov
10,Naomi,ALONE,ALONE++,1,,1,,N,ASL_2008_08_13,29,4065,4141,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_26.mov
11,Brady,ALONE,ALONE++,1,,1,,N,ASL_2011_06_14_Brady,42,1430,1498,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_26.mov
12,Brady,ALONE,ALONE+,1,,1,,N,ASL_2011_07_19_Brady,83,3186,3211,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3933.mov
13,Lana,ALONE,ALONE+,1,,1,,N,ASL_2006_10_10,2,2076,2120,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_26.mov
14,Dana,ALONE,ALONE+,1,,1,,N,ASL_2007_05_24,5,2431,2476,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_26.mov
16,Liz,LONELY,LONELY+,1,,1,,N,ASL_2008_02_01,52,751,805,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15714.mov
17,Tyler,LONELY,LONELY+,1,,1,,N,ASL_2008_06_10,4,845,902,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15714.mov
18,Naomi,LONELY,LONELY+,1,,1,,N,ASL_2008_08_13_session2,7,540,575,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_15714.mov
