0,Consultant,Main New Gloss.1,Gloss Variant,D Start HS,N-D Start HS,D End HS,N-D End HS,Passive Arm,Session,Scene,Start,End,vid_links
1,Liz,TWENTY,TWENTY+,crvd-L,,flat-G,,N,ASL_2008_01_11,2,2635,2661,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_10.mov
2,Tyler,TWENTY,TWENTY++,L,,flat-G,,N,ASL_2008_05_12a,1,2400,2480,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_10.mov
3,Naomi,TWENTY,TWENTY+,L,,baby-O,,N,ASL_2008_08_04,1,2279,2353,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_10.mov
4,Brady,TWENTY,TWENTY+,L,,flat-G,,N,ASL_2011_06_08_Brady,5,5170,5198,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_10.mov
5,Liz,ALONE,ALONE++,1,,1,,N,ASL_2008_02_01,35,3707,3782,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_26.mov
6,Liz,ALONE,ALONE+,1,,1,,N,ASL_2008_02_29,32,2890,2936,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_3933.mov
7,Tyler,ALONE,ALONE+,1,,1,,N,ASL_2008_05_29b,9,3801,3830,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_26.mov
8,Naomi,ALONE,ALONE++,1,,1,,N,ASL_2008_08_13,29,4065,4141,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_26.mov
9,Brady,ALONE,ALONE++,1,,1,,N,ASL_2011_06_14_Brady,42,1430,1498,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_26.mov
10,Brady,ALONE,ALONE+,1,,1,,N,ASL_2011_07_19_Brady,83,3186,3211,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_3933.mov
11,Lana,ALONE,ALONE+,1,,1,,N,ASL_2006_10_10,2,2076,2120,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_26.mov
12,Dana,ALONE,ALONE+,1,,1,,N,ASL_2007_05_24,5,2431,2476,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_26.mov
13,Liz,LONELY,LONELY+,1,,1,,N,ASL_2008_02_01,52,751,805,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15714.mov
14,Tyler,LONELY,LONELY+,1,,1,,N,ASL_2008_06_10,4,845,902,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15714.mov
15,Naomi,LONELY,LONELY+,1,,1,,N,ASL_2008_08_13_session2,7,540,575,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_15714.mov
16,Brady,LONELY,LONELY+,1,,1,,N,ASL_2011_06_14_Brady,51,80,119,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15714.mov
17,Liz,BACHELOR,SINGLE,1,,1,,N,ASL_2008_02_29,32,2629,2675,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15729.mov
18,Brady,BACHELOR,SINGLE,D,,D,,N,ASL_2011_07_19_Brady,83,2957,2992,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15729.mov
19,Liz,BACHELOR,SWINGING-SINGLE,1,,1,,N,ASL_2008_02_29,32,3431,3525,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15730.mov
20,Liz,BACHELOR,BACHELOR,B,,B,,N,ASL_2008_01_11,28,315,350,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15744.mov
21,Tyler,BACHELOR,BACHELOR,B,,B,,N,ASL_2008_05_12a,18,1000,1025,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15744.mov
22,Naomi,BACHELOR,BACHELOR,B,,B,,N,ASL_2008_08_04,18,1080,1105,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_15744.mov
23,Brady,BACHELOR,BACHELOR,B,,B,,N,ASL_2011_06_08_Brady,15,233,263,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15744.mov
24,Liz,SOMETHING/ONE,SOMETHING/ONE,1,,1,,N,ASL_2008_02_29,38,1230,1272,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15826.mov
25,Liz,ALWAYS,ALWAYS,1,,1,,N,ASL_2008_01_11,13,315,370,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16072.mov
26,Tyler,ALWAYS,ALWAYS,1,,1,,N,ASL_2008_05_12a,10,1810,1850,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16072.mov
27,Naomi,ALWAYS,ALWAYS,1,,1,,N,ASL_2008_08_04,9,1571,1635,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_16072.mov
28,Brady,ALWAYS,ALWAYS,1,,1,,N,ASL_2011_06_08_Brady,11,2592,2620,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16072.mov
29,Liz,WAIT-A-MINUTE,WAIT-A-MINUTE,1,,1,,N,ASL_2008_03_28,34,375,412,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16088.mov
30,Brady,WAIT-A-MINUTE,WAIT-A-MINUTE,1,,1,,N,ASL_2011_07_22_Brady,22,1647,1697,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16088.mov
31,Liz,ONE,ONE,1,,1,,N,ASL_2008_01_11,4,2145,2185,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16190.mov
32,Tyler,ONE,ONE,1,,1,,N,ASL_2008_05_12a,3,1325,1380,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16190.mov
